Time and date',ECG,PPG
[11:28:03.116 14/08/1994]',0.141,55.14
[11:28:03.118 14/08/1994]',0.141,55.14
[11:28:03.120 14/08/1994]',0.141,54.751
[11:28:03.122 14/08/1994]',0.134,54.751
[11:28:03.124 14/08/1994]',0.134,54.751
[11:28:03.126 14/08/1994]',0.134,54.751
[11:28:03.128 14/08/1994]',0.134,54.283
[11:28:03.130 14/08/1994]',0.134,54.283
[11:28:03.132 14/08/1994]',0.134,54.283
[11:28:03.134 14/08/1994]',0.134,54.283
[11:28:03.136 14/08/1994]',0.141,53.816
[11:28:03.138 14/08/1994]',0.141,53.816
[11:28:03.140 14/08/1994]',0.148,53.816
[11:28:03.142 14/08/1994]',0.156,53.816
[11:28:03.144 14/08/1994]',0.156,53.427
[11:28:03.146 14/08/1994]',0.156,53.427
[11:28:03.148 14/08/1994]',0.148,53.427
[11:28:03.150 14/08/1994]',0.156,53.427
[11:28:03.152 14/08/1994]',0.156,52.96
[11:28:03.154 14/08/1994]',0.163,52.96
[11:28:03.156 14/08/1994]',0.163,52.96
[11:28:03.158 14/08/1994]',0.156,52.96
[11:28:03.160 14/08/1994]',0.156,52.57
[11:28:03.162 14/08/1994]',0.156,52.57
[11:28:03.164 14/08/1994]',0.156,52.57
[11:28:03.166 14/08/1994]',0.156,52.57
[11:28:03.168 14/08/1994]',0.156,52.103
[11:28:03.170 14/08/1994]',0.163,52.103
[11:28:03.172 14/08/1994]',0.171,52.103
[11:28:03.174 14/08/1994]',0.163,52.103
[11:28:03.176 14/08/1994]',0.163,51.791
[11:28:03.178 14/08/1994]',0.156,51.791
[11:28:03.180 14/08/1994]',0.163,51.791
[11:28:03.182 14/08/1994]',0.163,51.791
[11:28:03.184 14/08/1994]',0.163,51.48
[11:28:03.186 14/08/1994]',0.163,51.48
[11:28:03.188 14/08/1994]',0.163,51.48
[11:28:03.190 14/08/1994]',0.178,51.48
[11:28:03.192 14/08/1994]',0.186,51.402
[11:28:03.194 14/08/1994]',0.2,51.402
[11:28:03.196 14/08/1994]',0.2,51.402
[11:28:03.198 14/08/1994]',0.2,51.402
[11:28:03.200 14/08/1994]',0.2,51.947
[11:28:03.202 14/08/1994]',0.2,51.947
[11:28:03.204 14/08/1994]',0.2,51.947
[11:28:03.206 14/08/1994]',0.2,51.947
[11:28:03.208 14/08/1994]',0.208,53.738
[11:28:03.210 14/08/1994]',0.215,53.738
[11:28:03.212 14/08/1994]',0.222,53.738
[11:28:03.214 14/08/1994]',0.23,53.738
[11:28:03.216 14/08/1994]',0.23,57.399
[11:28:03.218 14/08/1994]',0.245,57.399
[11:28:03.220 14/08/1994]',0.252,57.399
[11:28:03.222 14/08/1994]',0.274,57.399
[11:28:03.224 14/08/1994]',0.282,62.928
[11:28:03.226 14/08/1994]',0.282,62.928
[11:28:03.228 14/08/1994]',0.289,62.928
[11:28:03.230 14/08/1994]',0.289,62.928
[11:28:03.232 14/08/1994]',0.297,69.237
[11:28:03.234 14/08/1994]',0.297,69.237
[11:28:03.236 14/08/1994]',0.304,69.237
[11:28:03.238 14/08/1994]',0.319,69.237
[11:28:03.240 14/08/1994]',0.333,74.922
[11:28:03.242 14/08/1994]',0.341,74.922
[11:28:03.244 14/08/1994]',0.341,74.922
[11:28:03.246 14/08/1994]',0.348,74.922
[11:28:03.248 14/08/1994]',0.348,78.972
[11:28:03.250 14/08/1994]',0.348,78.972
[11:28:03.252 14/08/1994]',0.356,78.972
[11:28:03.254 14/08/1994]',0.348,78.972
[11:28:03.256 14/08/1994]',0.356,81.542
[11:28:03.258 14/08/1994]',0.356,81.542
[11:28:03.260 14/08/1994]',0.348,81.542
[11:28:03.262 14/08/1994]',0.348,81.542
[11:28:03.264 14/08/1994]',0.348,82.944
[11:28:03.266 14/08/1994]',0.348,82.944
[11:28:03.268 14/08/1994]',0.356,82.944
[11:28:03.270 14/08/1994]',0.356,82.944
[11:28:03.272 14/08/1994]',0.356,83.645
[11:28:03.274 14/08/1994]',0.348,83.645
[11:28:03.276 14/08/1994]',0.348,83.645
[11:28:03.278 14/08/1994]',0.333,83.645
[11:28:03.280 14/08/1994]',0.311,83.801
[11:28:03.282 14/08/1994]',0.304,83.801
[11:28:03.284 14/08/1994]',0.304,83.801
[11:28:03.286 14/08/1994]',0.297,83.801
[11:28:03.288 14/08/1994]',0.289,83.645
[11:28:03.290 14/08/1994]',0.282,83.645
[11:28:03.292 14/08/1994]',0.267,83.645
[11:28:03.294 14/08/1994]',0.245,83.645
[11:28:03.296 14/08/1994]',0.222,83.333
[11:28:03.298 14/08/1994]',0.2,83.333
[11:28:03.300 14/08/1994]',0.2,83.333
[11:28:03.302 14/08/1994]',0.171,83.333
[11:28:03.304 14/08/1994]',0.163,82.866
[11:28:03.306 14/08/1994]',0.141,82.866
[11:28:03.308 14/08/1994]',0.134,82.866
[11:28:03.310 14/08/1994]',0.119,82.866
[11:28:03.312 14/08/1994]',0.104,82.165
[11:28:03.314 14/08/1994]',0.089,82.165
[11:28:03.316 14/08/1994]',0.082,82.165
[11:28:03.318 14/08/1994]',0.067,82.165
[11:28:03.320 14/08/1994]',0.052,81.231
[11:28:03.322 14/08/1994]',0.052,81.231
[11:28:03.324 14/08/1994]',0.045,81.231
[11:28:03.326 14/08/1994]',0.045,81.231
[11:28:03.328 14/08/1994]',0.045,80.062
[11:28:03.330 14/08/1994]',0.037,80.062
[11:28:03.332 14/08/1994]',0.03,80.062
[11:28:03.334 14/08/1994]',0.023,80.062
[11:28:03.336 14/08/1994]',0.008,78.583
[11:28:03.338 14/08/1994]',0.001,78.583
[11:28:03.340 14/08/1994]',0.001,78.583
[11:28:03.342 14/08/1994]',0.001,78.583
[11:28:03.344 14/08/1994]',-0.007,76.869
[11:28:03.346 14/08/1994]',-0.014,76.869
[11:28:03.348 14/08/1994]',-0.007,76.869
[11:28:03.350 14/08/1994]',0.001,76.869
[11:28:03.352 14/08/1994]',0.001,75.078
[11:28:03.354 14/08/1994]',-0.007,75.078
[11:28:03.356 14/08/1994]',-0.014,75.078
[11:28:03.358 14/08/1994]',-0.014,75.078
[11:28:03.360 14/08/1994]',-0.014,72.975
[11:28:03.362 14/08/1994]',-0.022,72.975
[11:28:03.364 14/08/1994]',-0.022,72.975
[11:28:03.366 14/08/1994]',-0.029,72.975
[11:28:03.368 14/08/1994]',-0.036,70.794
[11:28:03.370 14/08/1994]',-0.036,70.794
[11:28:03.372 14/08/1994]',-0.036,70.794
[11:28:03.374 14/08/1994]',-0.044,70.794
[11:28:03.376 14/08/1994]',-0.029,68.536
[11:28:03.378 14/08/1994]',-0.022,68.536
[11:28:03.380 14/08/1994]',-0.029,68.536
[11:28:03.382 14/08/1994]',-0.029,68.536
[11:28:03.384 14/08/1994]',-0.029,66.199
[11:28:03.386 14/08/1994]',-0.029,66.199
[11:28:03.388 14/08/1994]',-0.036,66.199
[11:28:03.390 14/08/1994]',-0.029,66.199
[11:28:03.392 14/08/1994]',-0.029,64.019
[11:28:03.394 14/08/1994]',-0.029,64.019
[11:28:03.396 14/08/1994]',-0.029,64.019
[11:28:03.398 14/08/1994]',-0.022,64.019
[11:28:03.400 14/08/1994]',-0.022,61.838
[11:28:03.402 14/08/1994]',-0.029,61.838
[11:28:03.404 14/08/1994]',-0.022,61.838
[11:28:03.406 14/08/1994]',-0.014,61.838
[11:28:03.408 14/08/1994]',-0.014,60.047
[11:28:03.410 14/08/1994]',-0.014,60.047
[11:28:03.412 14/08/1994]',-0.014,60.047
[11:28:03.414 14/08/1994]',-0.014,60.047
[11:28:03.416 14/08/1994]',-0.014,58.645
[11:28:03.418 14/08/1994]',-0.022,58.645
[11:28:03.420 14/08/1994]',-0.029,58.645
[11:28:03.422 14/08/1994]',-0.029,58.645
[11:28:03.424 14/08/1994]',-0.022,57.788
[11:28:03.426 14/08/1994]',-0.022,57.788
[11:28:03.428 14/08/1994]',-0.022,57.788
[11:28:03.430 14/08/1994]',-0.022,57.788
[11:28:03.432 14/08/1994]',-0.007,57.555
[11:28:03.434 14/08/1994]',-0.014,57.555
[11:28:03.436 14/08/1994]',-0.014,57.555
[11:28:03.438 14/08/1994]',-0.022,57.555
[11:28:03.440 14/08/1994]',-0.014,57.71
[11:28:03.442 14/08/1994]',-0.022,57.71
[11:28:03.444 14/08/1994]',-0.022,57.71
[11:28:03.446 14/08/1994]',-0.022,57.71
[11:28:03.448 14/08/1994]',-0.029,58.178
[11:28:03.450 14/08/1994]',-0.022,58.178
[11:28:03.452 14/08/1994]',-0.022,58.178
[11:28:03.454 14/08/1994]',-0.022,58.178
[11:28:03.456 14/08/1994]',-0.014,58.567
[11:28:03.458 14/08/1994]',-0.022,58.567
[11:28:03.460 14/08/1994]',-0.014,58.567
[11:28:03.462 14/08/1994]',-0.014,58.567
[11:28:03.464 14/08/1994]',-0.014,58.956
[11:28:03.466 14/08/1994]',-0.014,58.956
[11:28:03.468 14/08/1994]',-0.014,58.956
[11:28:03.470 14/08/1994]',-0.014,58.956
[11:28:03.472 14/08/1994]',-0.014,59.19
[11:28:03.474 14/08/1994]',-0.014,59.19
[11:28:03.476 14/08/1994]',-0.014,59.19
[11:28:03.478 14/08/1994]',-0.014,59.19
[11:28:03.480 14/08/1994]',-0.014,59.346
[11:28:03.482 14/08/1994]',-0.014,59.346
[11:28:03.484 14/08/1994]',-0.007,59.346
[11:28:03.486 14/08/1994]',-0.007,59.346
[11:28:03.488 14/08/1994]',0.001,59.502
[11:28:03.490 14/08/1994]',0.001,59.502
[11:28:03.492 14/08/1994]',0.001,59.502
[11:28:03.494 14/08/1994]',0.001,59.502
[11:28:03.496 14/08/1994]',-0.007,59.579
[11:28:03.498 14/08/1994]',-0.022,59.579
[11:28:03.500 14/08/1994]',-0.051,59.579
[11:28:03.502 14/08/1994]',-0.103,59.579
[11:28:03.504 14/08/1994]',-0.162,59.579
[11:28:03.506 14/08/1994]',-0.229,59.579
[11:28:03.508 14/08/1994]',-0.318,59.579
[11:28:03.510 14/08/1994]',-0.414,59.579
[11:28:03.512 14/08/1994]',-0.51,59.579
[11:28:03.514 14/08/1994]',-0.584,59.579
[11:28:03.516 14/08/1994]',-0.673,59.579
[11:28:03.518 14/08/1994]',-0.668,59.579
[11:28:03.520 14/08/1994]',-0.663,59.502
[11:28:03.522 14/08/1994]',-0.658,59.502
[11:28:03.524 14/08/1994]',-0.653,59.502
[11:28:03.526 14/08/1994]',-0.648,59.502
[11:28:03.528 14/08/1994]',-0.643,59.268
[11:28:03.530 14/08/1994]',-0.638,59.268
[11:28:03.532 14/08/1994]',-0.634,59.268
[11:28:03.534 14/08/1994]',-0.629,59.268
[11:28:03.536 14/08/1994]',-0.624,59.034
[11:28:03.538 14/08/1994]',-0.619,59.034
[11:28:03.540 14/08/1994]',-0.614,59.034
[11:28:03.542 14/08/1994]',-0.609,59.034
[11:28:03.544 14/08/1994]',-0.599,58.801
[11:28:03.546 14/08/1994]',-0.599,58.801
[11:28:03.548 14/08/1994]',-0.503,58.801
[11:28:03.550 14/08/1994]',-0.429,58.801
[11:28:03.552 14/08/1994]',-0.355,58.567
[11:28:03.554 14/08/1994]',-0.288,58.567
[11:28:03.556 14/08/1994]',-0.229,58.567
[11:28:03.558 14/08/1994]',-0.199,58.567
[11:28:03.560 14/08/1994]',-0.17,58.489
[11:28:03.562 14/08/1994]',-0.14,58.489
[11:28:03.564 14/08/1994]',-0.103,58.489
[11:28:03.566 14/08/1994]',-0.081,58.489
[11:28:03.568 14/08/1994]',-0.051,58.489
[11:28:03.570 14/08/1994]',-0.029,58.489
[11:28:03.572 14/08/1994]',-0.007,58.489
[11:28:03.574 14/08/1994]',0.015,58.489
[11:28:03.576 14/08/1994]',0.023,58.489
[11:28:03.578 14/08/1994]',0.045,58.489
[11:28:03.580 14/08/1994]',0.067,58.489
[11:28:03.582 14/08/1994]',0.075,58.489
[11:28:03.584 14/08/1994]',0.082,58.411
[11:28:03.586 14/08/1994]',0.089,58.411
[11:28:03.588 14/08/1994]',0.104,58.411
[11:28:03.590 14/08/1994]',0.119,58.411
[11:28:03.592 14/08/1994]',0.119,58.411
[11:28:03.594 14/08/1994]',0.134,58.411
[11:28:03.596 14/08/1994]',0.141,58.411
[11:28:03.598 14/08/1994]',0.148,58.411
[11:28:03.600 14/08/1994]',0.148,58.333
[11:28:03.602 14/08/1994]',0.156,58.333
[11:28:03.604 14/08/1994]',0.156,58.333
[11:28:03.606 14/08/1994]',0.156,58.333
[11:28:03.608 14/08/1994]',0.163,58.255
[11:28:03.610 14/08/1994]',0.163,58.255
[11:28:03.612 14/08/1994]',0.163,58.255
[11:28:03.614 14/08/1994]',0.163,58.255
[11:28:03.616 14/08/1994]',0.171,58.1
[11:28:03.618 14/08/1994]',0.171,58.1
[11:28:03.620 14/08/1994]',0.163,58.1
[11:28:03.622 14/08/1994]',0.171,58.1
[11:28:03.624 14/08/1994]',0.163,57.944
[11:28:03.626 14/08/1994]',0.171,57.944
[11:28:03.628 14/08/1994]',0.171,57.944
[11:28:03.630 14/08/1994]',0.171,57.944
[11:28:03.632 14/08/1994]',0.171,57.71
[11:28:03.634 14/08/1994]',0.178,57.71
[11:28:03.636 14/08/1994]',0.171,57.71
[11:28:03.638 14/08/1994]',0.171,57.71
[11:28:03.640 14/08/1994]',0.171,57.555
[11:28:03.642 14/08/1994]',0.171,57.555
[11:28:03.644 14/08/1994]',0.163,57.555
[11:28:03.646 14/08/1994]',0.163,57.555
[11:28:03.648 14/08/1994]',0.171,57.321
[11:28:03.650 14/08/1994]',0.171,57.321
[11:28:03.652 14/08/1994]',0.171,57.321
[11:28:03.654 14/08/1994]',0.171,57.321
[11:28:03.656 14/08/1994]',0.171,57.087
[11:28:03.658 14/08/1994]',0.171,57.087
[11:28:03.660 14/08/1994]',0.171,57.087
[11:28:03.662 14/08/1994]',0.178,57.087
[11:28:03.664 14/08/1994]',0.178,56.854
[11:28:03.666 14/08/1994]',0.178,56.854
[11:28:03.668 14/08/1994]',0.178,56.854
[11:28:03.670 14/08/1994]',0.178,56.854
[11:28:03.672 14/08/1994]',0.178,56.776
[11:28:03.674 14/08/1994]',0.186,56.776
[11:28:03.676 14/08/1994]',0.178,56.776
[11:28:03.678 14/08/1994]',0.186,56.776
[11:28:03.680 14/08/1994]',0.186,56.854
[11:28:03.682 14/08/1994]',0.186,56.854
[11:28:03.684 14/08/1994]',0.2,56.854
[11:28:03.686 14/08/1994]',0.2,56.854
[11:28:03.688 14/08/1994]',0.2,57.165
[11:28:03.690 14/08/1994]',0.2,57.165
[11:28:03.692 14/08/1994]',0.208,57.165
[11:28:03.694 14/08/1994]',0.208,57.165
[11:28:03.696 14/08/1994]',0.215,58.333
[11:28:03.698 14/08/1994]',0.222,58.333
[11:28:03.700 14/08/1994]',0.23,58.333
[11:28:03.702 14/08/1994]',0.23,58.333
[11:28:03.704 14/08/1994]',0.23,60.903
[11:28:03.706 14/08/1994]',0.237,60.903
[11:28:03.708 14/08/1994]',0.237,60.903
[11:28:03.710 14/08/1994]',0.252,60.903
[11:28:03.712 14/08/1994]',0.252,65.343
[11:28:03.714 14/08/1994]',0.267,65.343
[11:28:03.716 14/08/1994]',0.274,65.343
[11:28:03.718 14/08/1994]',0.282,65.343
[11:28:03.720 14/08/1994]',0.282,71.184
[11:28:03.722 14/08/1994]',0.289,71.184
[11:28:03.724 14/08/1994]',0.297,71.184
[11:28:03.726 14/08/1994]',0.304,71.184
[11:28:03.728 14/08/1994]',0.311,77.025
[11:28:03.730 14/08/1994]',0.319,77.025
[11:28:03.732 14/08/1994]',0.319,77.025
[11:28:03.734 14/08/1994]',0.333,77.025
[11:28:03.736 14/08/1994]',0.333,81.854
[11:28:03.738 14/08/1994]',0.333,81.854
[11:28:03.740 14/08/1994]',0.341,81.854
[11:28:03.742 14/08/1994]',0.341,81.854
[11:28:03.744 14/08/1994]',0.341,85.047
[11:28:03.746 14/08/1994]',0.341,85.047
[11:28:03.748 14/08/1994]',0.348,85.047
[11:28:03.750 14/08/1994]',0.348,85.047
[11:28:03.752 14/08/1994]',0.356,86.916
[11:28:03.754 14/08/1994]',0.341,86.916
[11:28:03.756 14/08/1994]',0.348,86.916
[11:28:03.758 14/08/1994]',0.348,86.916
[11:28:03.760 14/08/1994]',0.341,87.928
[11:28:03.762 14/08/1994]',0.341,87.928
[11:28:03.764 14/08/1994]',0.333,87.928
[11:28:03.766 14/08/1994]',0.333,87.928
[11:28:03.768 14/08/1994]',0.333,88.24
[11:28:03.770 14/08/1994]',0.319,88.24
[11:28:03.772 14/08/1994]',0.311,88.24
[11:28:03.774 14/08/1994]',0.297,88.24
[11:28:03.776 14/08/1994]',0.297,88.24
[11:28:03.778 14/08/1994]',0.282,88.24
[11:28:03.780 14/08/1994]',0.274,88.24
[11:28:03.782 14/08/1994]',0.252,88.24
[11:28:03.784 14/08/1994]',0.23,88.084
[11:28:03.786 14/08/1994]',0.222,88.084
[11:28:03.788 14/08/1994]',0.208,88.084
[11:28:03.790 14/08/1994]',0.2,88.084
[11:28:03.792 14/08/1994]',0.178,87.695
[11:28:03.794 14/08/1994]',0.163,87.695
[11:28:03.796 14/08/1994]',0.148,87.695
[11:28:03.798 14/08/1994]',0.141,87.695
[11:28:03.800 14/08/1994]',0.134,87.15
[11:28:03.802 14/08/1994]',0.111,87.15
[11:28:03.804 14/08/1994]',0.097,87.15
[11:28:03.806 14/08/1994]',0.089,87.15
[11:28:03.808 14/08/1994]',0.089,86.293
[11:28:03.810 14/08/1994]',0.075,86.293
[11:28:03.812 14/08/1994]',0.067,86.293
[11:28:03.814 14/08/1994]',0.067,86.293
[11:28:03.816 14/08/1994]',0.067,85.202
[11:28:03.818 14/08/1994]',0.052,85.202
[11:28:03.820 14/08/1994]',0.045,85.202
[11:28:03.822 14/08/1994]',0.045,85.202
[11:28:03.824 14/08/1994]',0.037,83.801
[11:28:03.826 14/08/1994]',0.03,83.801
[11:28:03.828 14/08/1994]',0.03,83.801
[11:28:03.830 14/08/1994]',0.023,83.801
[11:28:03.832 14/08/1994]',0.023,82.243
[11:28:03.834 14/08/1994]',0.015,82.243
[11:28:03.836 14/08/1994]',0.008,82.243
[11:28:03.838 14/08/1994]',0.008,82.243
[11:28:03.840 14/08/1994]',0.001,80.452
[11:28:03.842 14/08/1994]',0.001,80.452
[11:28:03.844 14/08/1994]',0.001,80.452
[11:28:03.846 14/08/1994]',0.001,80.452
[11:28:03.848 14/08/1994]',0.001,78.349
[11:28:03.850 14/08/1994]',0.001,78.349
[11:28:03.852 14/08/1994]',0.001,78.349
[11:28:03.854 14/08/1994]',0.001,78.349
[11:28:03.856 14/08/1994]',-0.007,76.168
[11:28:03.858 14/08/1994]',-0.014,76.168
[11:28:03.860 14/08/1994]',-0.014,76.168
[11:28:03.862 14/08/1994]',-0.014,76.168
[11:28:03.864 14/08/1994]',-0.022,73.91
[11:28:03.866 14/08/1994]',-0.022,73.91
[11:28:03.868 14/08/1994]',-0.014,73.91
[11:28:03.870 14/08/1994]',-0.014,73.91
[11:28:03.872 14/08/1994]',-0.022,71.573
[11:28:03.874 14/08/1994]',-0.022,71.573
[11:28:03.876 14/08/1994]',-0.022,71.573
[11:28:03.878 14/08/1994]',-0.014,71.573
[11:28:03.880 14/08/1994]',-0.014,69.315
[11:28:03.882 14/08/1994]',-0.007,69.315
[11:28:03.884 14/08/1994]',-0.007,69.315
[11:28:03.886 14/08/1994]',0.001,69.315
[11:28:03.888 14/08/1994]',-0.007,67.134
[11:28:03.890 14/08/1994]',0.001,67.134
[11:28:03.892 14/08/1994]',-0.007,67.134
[11:28:03.894 14/08/1994]',-0.007,67.134
[11:28:03.896 14/08/1994]',0.001,65.265
[11:28:03.898 14/08/1994]',0.001,65.265
[11:28:03.900 14/08/1994]',0.001,65.265
[11:28:03.902 14/08/1994]',0.001,65.265
[11:28:03.904 14/08/1994]',0.001,63.785
[11:28:03.906 14/08/1994]',0.001,63.785
[11:28:03.908 14/08/1994]',0.001,63.785
[11:28:03.910 14/08/1994]',0.001,63.785
[11:28:03.912 14/08/1994]',0.001,62.773
[11:28:03.914 14/08/1994]',0.001,62.773
[11:28:03.916 14/08/1994]',0.001,62.773
[11:28:03.918 14/08/1994]',0.001,62.773
[11:28:03.920 14/08/1994]',-0.007,62.227
[11:28:03.922 14/08/1994]',0.001,62.227
[11:28:03.924 14/08/1994]',0.001,62.227
[11:28:03.926 14/08/1994]',0.001,62.227
[11:28:03.928 14/08/1994]',0.001,62.072
[11:28:03.930 14/08/1994]',-0.007,62.072
[11:28:03.932 14/08/1994]',0.001,62.072
[11:28:03.934 14/08/1994]',0.001,62.072
